City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yellowknife,75,CA,1551309480,65,62.45,-114.38,8.6,12.75
Albany,90,US,1551311019,78,42.65,-73.75,17.01,6.93
Bodden Town,20,KY,1551310204,74,19.28,-81.25,82.4,6.93
Madang,0,PG,1551311835,90,-5.21,145.81,81.1,3.74
Bethel,90,US,1551308160,69,60.79,-161.76,39.2,25.28
Geraldton,75,CA,1551308400,51,49.72,-86.95,12.2,6.93
Sao Jose de Ribamar,90,BR,1551308400,94,-2.56,-44.05,77.0,8.05
Fortuna,0,ES,1551311679,76,38.18,-1.13,54.0,4.7
Ushuaia,75,AR,1551308400,81,-54.81,-68.31,48.2,26.4
Barrow,76,AR,1551311837,75,-38.31,-60.23,57.57,7.87
Ukiah,90,US,1551311760,76,39.15,-123.21,55.0,13.87
High Rock,75,BS,1551308400,83,26.63,-78.28,77.0,6.93
Port Elizabeth,90,US,1551311682,69,39.31,-74.98,37.99,10.29
Bredasdorp,80,ZA,1551311119,60,-34.53,20.04,68.0,12.75
Atuona,76,PF,1551311838,100,-9.8,-139.03,80.97,5.64
Kurilsk,20,RU,1551311838,92,45.23,147.88,29.89,9.89
Agadez,44,NE,1551311838,57,16.97,7.99,63.55,4.63
Sal Rei,0,CV,1551308400,52,16.18,-22.92,69.8,14.99
Saint-Philippe,75,CA,1551311708,50,45.36,-73.48,8.01,3.51
Pevek,0,RU,1551311839,75,69.7,170.27,11.4,21.3
Northam,75,GB,1551311831,100,51.04,-4.21,48.0,3.36
Marystown,48,CA,1551311520,100,47.17,-55.16,25.0,33.15
Hermanus,20,ZA,1551311196,74,-34.42,19.24,66.0,3.0
Mahebourg,75,MU,1551311641,83,-20.41,57.7,80.6,4.7
Luderitz,0,NA,1551311840,73,-26.65,15.16,62.34,20.4
Parit Buntar,75,MY,1551310200,74,5.13,100.49,80.6,6.93
Nalus,36,IR,1551311844,75,36.98,45.14,24.0,2.62
Chokurdakh,68,RU,1551311844,68,70.62,147.9,-9.94,14.25
Colesberg,24,ZA,1551311845,64,-30.72,25.1,54.69,2.39
Broken Hill,0,AU,1551308400,16,-31.97,141.45,87.8,13.87
Yeppoon,20,AU,1551310200,48,-23.13,150.74,82.4,12.75
Busselton,76,AU,1551311707,42,-33.64,115.35,72.0,11.34
Rikitea,8,PF,1551311846,100,-23.12,-134.97,80.02,7.2
Aswan,36,EG,1551311847,70,24.09,32.9,52.75,5.41
Monte Santo,44,BR,1551311847,95,-10.44,-39.33,70.17,3.06
Port Alfred,36,ZA,1551311793,75,-33.59,26.89,63.0,5.01
Komsomolskiy,48,RU,1551311848,46,67.55,63.78,-2.29,14.14
Bibiani,80,GH,1551311848,83,6.45,-2.31,76.6,4.18
Kapit,92,MY,1551311848,96,2.02,112.94,73.9,2.39
Kattivakkam,40,IN,1551310200,83,13.22,80.32,82.4,6.93
Malamig,68,PH,1551311849,96,12.95,121.37,72.78,5.41
Kurchum,44,KZ,1551311914,61,48.57,83.65,8.97,2.73
Torbay,75,CA,1551311914,79,47.66,-52.73,24.01,33.33
Arthur,1,US,1551311608,61,41.57,-101.69,17.6,4.7
Mataura,92,NZ,1551311405,66,-46.19,168.86,55.0,11.01
Mar del Plata,44,AR,1551311915,56,-46.43,-67.52,62.43,8.1
Saint-Pierre,0,FR,1551311824,72,48.95,4.24,37.4,1.12
Cape Town,75,ZA,1551311851,72,-33.93,18.42,66.0,4.7
Vedea,0,RO,1551311916,65,44.78,24.62,19.05,3.06
Ostrovnoy,76,RU,1551311772,88,68.05,39.51,18.64,9.33
Hanzhong,68,CN,1551311916,81,33.08,107.03,24.45,2.17
Arraial do Cabo,90,BR,1551308400,94,-22.97,-42.02,75.2,5.82
Luoyang,0,CN,1551311917,77,34.66,112.42,29.49,2.39
Chuy,0,UY,1551311917,83,-33.69,-53.46,61.17,5.19
Shashi,100,CN,1551311917,100,27.02,114.08,44.47,3.06
Hasaki,75,JP,1551311376,93,35.73,140.83,46.4,8.05
Jamestown,0,AU,1551311918,78,-33.21,138.6,76.02,10.0
Micheweni,64,TZ,1551311918,100,-4.97,39.83,82.68,10.67
Ferreira do Alentejo,0,PT,1551311146,93,38.06,-8.11,52.0,6.93
Lagoa,0,PT,1551311828,93,37.14,-8.45,55.0,3.36
Tanete,32,ID,1551311919,92,-3.94,119.78,77.73,1.39
Kavieng,80,PG,1551311919,100,-2.57,150.8,80.02,6.53
Mitsamiouli,20,KM,1551308400,83,-11.38,43.28,78.8,5.82
Hithadhoo,68,MV,1551311920,100,-0.6,73.08,81.55,9.22
Melbu,24,NO,1551311243,71,68.5,14.83,34.0,8.01
Kaitangata,88,NZ,1551311906,63,-46.28,169.85,55.99,8.01
Evensk,80,RU,1551311920,100,61.92,159.24,2.58,5.97
Tasiilaq,80,GL,1551307800,80,65.61,-37.64,30.2,14.99
Sitka,12,US,1551311195,69,37.17,-99.65,16.0,8.01
Butaritari,68,KI,1551311921,100,3.07,172.79,82.14,16.82
Thompson,90,CA,1551311400,85,55.74,-97.86,14.0,9.17
Coquimbo,0,CL,1551308400,77,-29.95,-71.34,64.4,10.29
Codrington,90,AU,1551311839,78,-28.95,153.24,78.8,2.84
Airai,44,TL,1551311922,84,-8.93,125.41,75.93,0.49
Grindavik,75,IS,1551310200,93,63.84,-22.43,41.0,23.04
Georgetown,75,GY,1551308400,83,6.8,-58.16,80.6,16.11
Ancud,0,CL,1551308400,67,-41.87,-73.83,60.8,5.82
Punta Arenas,90,CL,1551311591,87,-53.16,-70.91,48.2,8.05
Durango,40,US,1551311920,39,37.28,-107.88,57.2,8.05
Grand Gaube,75,MU,1551311641,83,-20.01,57.66,80.6,4.7
Kapaa,40,US,1551311594,50,22.08,-159.32,75.2,24.16
Saint-Leu,0,RE,1551311764,69,-21.15,55.28,78.8,5.82
Along,100,IN,1551311924,96,28.17,94.8,48.84,1.72
Itarema,92,BR,1551311924,95,-2.92,-39.92,77.37,1.39
La Union,68,GT,1551311990,67,14.97,-89.29,72.33,2.73
Cap-aux-Meules,90,CA,1551308400,72,47.38,-61.86,14.0,18.34
Palmer,24,AU,1551311902,18,-34.85,139.16,95.0,10.0
Vestmannaeyjar,44,IS,1551311991,97,63.44,-20.27,38.76,13.24
Bandarbeyla,0,SO,1551311991,100,9.49,50.81,74.94,3.06
Sandy Springs,1,US,1551311976,77,34.59,-82.75,62.6,4.74
Sabang,68,PH,1551311992,88,13.72,123.58,76.92,8.88
Flinders,40,AU,1551311952,64,-34.58,150.85,84.99,6.93
Qasigiannguit,0,GL,1551307800,46,68.82,-51.19,28.4,17.22
